,nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,datetime
0,,27,4667,14616,31840,0,1171,9248,374,246,545,,2025-01-03 19:00:00
1,,27,4617,15428,31421,0,1138,8622,374,251,-326,,2025-01-03 20:00:00
2,,27,4593,15380,29502,0,1161,8199,374,251,-400,,2025-01-03 21:00:00
3,,27,4614,15632,27611,0,1186,7256,374,251,-625,,2025-01-03 22:00:00
4,,27,4629,14503,25849,0,1163,6668,374,260,-423,,2025-01-03 23:00:00
5,,27,4589,14521,23843,0,1190,6612,374,301,-1393,,2025-01-04 00:00:00
6,,27,4554,14790,20634,0,1211,6559,374,327,-681,,2025-01-04 01:00:00
7,,27,4517,15072,17499,0,1199,6614,374,315,-469,,2025-01-04 02:00:00
8,,27,4549,15581,15093,0,1185,6803,374,336,-16,,2025-01-04 03:00:00
9,,27,4533,16238,12246,0,1171,7105,374,336,154,,2025-01-04 04:00:00
10,,27,4523,17045,10981,0,1203,7733,374,347,28,,2025-01-04 05:00:00
11,,27,4516,17254,10102,0,1215,8175,374,347,73,,2025-01-04 06:00:00
12,,27,4510,17327,9816,362,1248,8982,374,352,1281,,2025-01-04 07:00:00
13,,27,4484,17362,9903,2291,1260,9344,374,359,1490,,2025-01-04 08:00:00
14,,27,4538,17555,9449,4406,1290,9342,374,360,1307,,2025-01-04 09:00:00
15,,27,4552,17436,10209,5787,1238,9350,374,360,747,,2025-01-04 10:00:00
16,,27,4588,17520,9303,6116,1254,9380,374,360,95,,2025-01-04 11:00:00
17,,27,4565,17513,9783,5365,1252,9765,374,360,1037,,2025-01-04 12:00:00
18,,27,4607,17452,9654,3629,1278,10236,374,360,1390,,2025-01-04 13:00:00
19,,27,4662,17518,9837,1459,1265,10576,374,360,3518,,2025-01-04 14:00:00
20,,27,4727,17573,10675,89,1351,10679,374,360,4866,,2025-01-04 15:00:00
21,,27,4756,17709,11304,0,1412,10876,374,360,6096,,2025-01-04 16:00:00
22,,27,4771,17773,11504,0,1402,10877,374,360,5416,,2025-01-04 17:00:00
23,,27,4771,17773,11761,0,1402,10877,374,360,5416,,2025-01-04 18:00:00
